artist,year,track,album,tags,labelid,url,cluster,distance,bpm_essentia
Cari Lekebusch,2019.0,New Relic,Jack In The Box [HPX102],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/new-relic,2,0.0785730767037718,132.01
Cari Lekebusch,2019.0,Off The Hinge,Corrosive EPS.3 [HPX108],electronic|roland|tb-303|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/off-the-hinge,2,0.1647525815185406,131.94
Cari Lekebusch,2020.0,Premonitions 2,Premonitions [HYB029],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/premonitions-2,2,0.1356205889427284,128.01
Cari Lekebusch,2020.0,Return To Base 1,Return To Base [HYB027],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/return-to-base-1,0,0.2310526770091991,127.01
Cari Lekebusch,2020.0,Return To Base 2,Return To Base [HYB027],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/return-to-base-2,1,0.2150714460092476,127.98
Cari Lekebusch,2019.0,Spinnhead,Spinnhead [HPX110],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/spinnhead,2,0.1205101513816376,130.98
Dirty Basscore,2016.0,Out,Knock,electronic|techno.|techno|Munich,16,https://credo-rec.bandcamp.com/track/out,2,0.1086419894343165,128.96
Cari Lekebusch,2019.0,Track Ahead,Jack In The Box [HPX102],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/track-ahead,1,0.203266964519407,131.95
Cari Lekebusch & Benjamin Mull,2018.0,Perception,Perception [HPX100],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/perception,2,0.1914465237439326,130.01
Cari Lekebusch & Dungeon Acid,2018.0,Burner,Corrosive EPS.2 [HPX99],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/burner,2,0.1226267779597123,128.11
Cari Lekebusch & Dungeon Acid,2018.0,Living Tissue,Corrosive EPS.2 [HPX99],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/living-tissue,0,0.2208490233398208,124.85
Cari Lekebusch & Dungeon Acid,2018.0,State of Matter,Corrosive EPS.2 [HPX99],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/state-of-matter,1,0.2442527916069779,128.02
Cari Lekebusch & Jesper Dahlback,2019.0,Detained Success,Hands On Experience 3 [HPX109],electronic|tr-909|acid|drummachine|electro|solo|techno|Stockholm,38,https://h-productions.bandcamp.com/track/detained-success,2,0.1627465092252956,129.98
Cari Lekebusch & Jesper Dahlback,2019.0,It's A Boy!,Hands On Experience 3 [HPX109],electronic|tr-909|acid|drummachine|electro|solo|techno|Stockholm,38,https://h-productions.bandcamp.com/track/its-a-boy,2,0.1793142436317438,130.01
Cari Lekebusch & Jesper Dahlback,2019.0,Kikumoto's Dream,Hands On Experience 3 [HPX109],electronic|tr-909|acid|drummachine|electro|solo|techno|Stockholm,38,https://h-productions.bandcamp.com/track/kikumotos-dream,2,0.2184946336042518,128.01
"Cari Lekebusch, Benjamin Mull",2018.0,Flight School,Fringilla [HPX101],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/flight-school,2,0.12280481902504,130.99
"Cari Lekebusch, Benjamin Mull",2018.0,Fringilla,Fringilla [HPX101],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/fringilla,2,0.1152765610500876,131.95
Petter B,2018.0,Släppt Slag,Kicksökande beteende [HPX98],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/sl-ppt-slag,1,0.2179977298724632,129.99
413,1995.0,Sparkling Duckweed,Never Mind Da Neighbours [HYB015],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/sparkling-duckweed,0,0.2294206100664826,129.05
